Date_time,country,UFO_shape
10/10/1949 20:30,us,cylinder
10/10/1949 21:00,,light
10/10/1955 17:00,gb,circle
10/10/1956 21:00,us,circle
10/10/1960 20:00,us,light
10/10/1961 19:00,us,sphere
10/10/1965 21:00,gb,circle
10/10/1965 23:45,us,disk
10/10/1966 20:00,us,disk
10/10/1966 21:00,us,disk
10/10/1968 13:00,us,circle
10/10/1968 19:00,us,fireball
10/10/1970 16:00,us,disk
10/10/1970 19:00,us,unknown
10/10/1971 21:00,us,oval
10/10/1972 19:00,us,circle
10/10/1972 22:30,us,disk
10/10/1973 19:00,us,disk
10/10/1973 23:00,,light
10/10/1974 19:30,us,other
10/10/1974 21:30,gb,disk
10/10/1974 23:00,us,light
10/10/1975 17:00,us,light
10/10/1976 20:30,us,oval
10/10/1976 22:00,gb,cigar
10/10/1977 12:00,us,other
10/10/1977 22:00,us,light
10/10/1978 02:00,us,rectangle
10/10/1979 00:00,us,chevron
10/10/1979 22:00,,triangle
10/10/1979 22:00,us,oval
10/10/1979 22:00,us,unknown
10/10/1980 19:00,us,sphere
10/10/1980 22:00,us,unknown
10/10/1980 23:30,us,light
10/10/1982 07:00,,disk
10/10/1984 05:00,us,circle
10/10/1984 12:00,us,other
10/10/1984 22:00,us,formation
10/10/1985 20:25,gb,triangle
10/10/1986 20:00,,chevron
10/10/1988 18:00,us,triangle
10/10/1988 21:00,us,unknown
10/10/1988 22:00,us,light
10/10/1988 22:45,us,unknown
10/10/1989 00:00,us,disk
10/10/1989 21:00,us,triangle
10/10/1989 21:00,,triangle
10/10/1990 21:00,us,triangle
10/10/1991 22:00,us,unknown
10/10/1991 22:00,us,triangle
10/10/1992 17:00,us,formation
10/10/1992 18:00,us,unknown
10/10/1992 20:15,us,cigar
10/10/1992 22:00,us,unknown
10/10/1993 03:00,,sphere
10/10/1993 22:00,us,light
10/10/1993 23:00,us,other
10/10/1994 15:00,,cigar
10/10/1994 18:30,us,rectangle
10/10/1994 22:00,us,light
10/10/1994 23:00,ca,sphere
10/10/1995 19:45,us,
10/10/1995 22:40,us,
10/10/1996 03:20,us,triangle
10/10/1996 20:00,,light
10/10/1996 22:00,us,light
10/10/1996 22:30,us,cylinder
10/10/1997 16:00,us,delta
10/10/1997 17:00,us,sphere
10/10/1997 20:00,us,triangle
10/10/1997 21:00,us,other
10/10/1998 02:30,us,changing
10/10/1998 03:30,us,fireball
10/10/1998 13:15,us,cylinder
10/10/1998 17:30,us,cigar
10/10/1998 17:30,us,circle
10/10/1998 20:30,,triangle
10/10/1998 20:30,us,triangle
10/10/1998 20:50,us,light
10/10/1998 22:30,ca,egg
10/10/1998 23:50,us,fireball
10/10/1999 00:01,us,changing
10/10/1999 04:00,us,unknown
10/10/1999 06:00,us,other
10/10/1999 11:00,us,fireball
10/10/1999 12:40,us,sphere
10/10/1999 20:35,us,circle
10/10/1999 21:00,us,light
10/10/1999 21:30,us,sphere
10/10/1999 22:30,,triangle
10/10/1999 22:30,us,chevron
10/10/1999 23:45,us,oval
10/10/2000 03:00,us,oval
10/10/2000 06:15,us,other
10/10/2000 07:30,ca,cylinder
10/10/2000 16:00,,triangle
10/10/2000 20:20,,oval
10/10/2000 20:30,us,light
10/10/2000 21:30,us,light
10/10/2000 21:30,us,unknown
10/10/2000 22:00,us,diamond
10/10/2001 03:00,us,triangle
10/10/2001 04:33,au,formation
10/10/2001 20:10,ca,other
10/10/2001 20:35,us,circle
10/10/2001 21:15,us,rectangle
10/10/2001 21:30,us,changing
10/10/2001 22:00,us,triangle
10/10/2001 23:00,us,triangle
10/10/2002 00:01,us,flash
10/10/2002 02:00,us,unknown
10/10/2002 04:00,au,circle
10/10/2002 06:00,us,sphere
10/10/2002 19:45,ca,unknown
10/10/2002 20:30,us,other
10/10/2002 21:00,us,circle
10/10/2003 09:00,,light
10/10/2003 12:00,us,oval
10/10/2003 18:00,us,sphere
10/10/2003 19:15,us,other
10/10/2003 20:05,us,light
10/10/2003 20:25,us,oval
10/10/2003 21:10,us,formation
10/10/2003 22:00,us,light
10/10/2003 23:00,,unknown
10/10/2003 23:25,us,sphere
10/10/2004 02:50,us,triangle
10/10/2004 03:30,,other
10/10/2004 03:50,ca,changing
10/10/2004 04:18,us,sphere
10/10/2004 08:30,us,oval
10/10/2004 09:45,ca,unknown
10/10/2004 14:00,us,circle
10/10/2004 15:00,us,unknown
10/10/2004 15:00,us,sphere
10/10/2004 15:20,,oval
10/10/2004 19:00,,formation
10/10/2004 19:00,us,circle
10/10/2004 21:00,us,flash
10/10/2004 21:00,us,light
10/10/2004 22:00,us,light
10/10/2004 23:30,us,sphere
10/10/2005 07:40,us,other
10/10/2005 09:00,us,other
10/10/2005 09:30,us,oval
10/10/2005 14:45,us,egg
10/10/2005 20:00,us,triangle
10/10/2005 20:00,gb,formation
10/10/2005 21:00,us,unknown
10/10/2005 21:30,us,other
10/10/2005 22:08,us,light
10/10/2005 23:00,us,light
10/10/2005 23:07,us,disk
10/10/2006 01:00,us,diamond
10/10/2006 05:00,us,triangle
10/10/2006 12:37,us,unknown
10/10/2006 16:00,us,light
10/10/2006 16:00,us,triangle
10/10/2006 19:00,,fireball
10/10/2006 20:00,us,other
10/10/2006 21:47,gb,formation
10/10/2006 22:40,us,light
10/10/2006 22:50,us,disk
10/10/2006 23:00,us,unknown
10/10/2007 01:00,us,light
10/10/2007 01:00,us,changing
10/10/2007 04:00,us,changing
10/10/2007 04:30,us,sphere
10/10/2007 06:00,us,oval
10/10/2007 13:00,us,triangle
10/10/2007 18:33,us,circle
